URL,元素名称,XPath,状态,内容预览,匹配数量,处理时间(秒),错误信息
http://www.bpf.cas.cn/tzgl/201903/t20190327_4686698.html,标题,//div[@class='article clearfix']/h3,成功,中科院“十三五”科教基础设施四个重点项目可行性研究报告获国家发改委批复,1,137.01,
http://www.bpf.cas.cn/tzgl/201903/t20190327_4686698.html,正文内容,//article[@id='zoom'],成功,3月18日，我院资源与能源绿色转化技术创新平台、新能源技术与材料综合研发平台、上海科技创新中心协同创新平台以及纳米真空互联材料制备及分析测试平台四个“十三五”科教基础设施重点项目可行性研究报告获国家发改委批复。这四个项目共14个建设内容，涉及资源、先进材料、新能源、量子信息、人口健康领域等众多方面的新技术研发与制备。 　　以上项目在建设完成后，将为突破绿色过程工程研发、大规模储能及相关关键材料技术...,1,137.01,
http://www.bpf.cas.cn/tzgl/201903/t20190327_4686698.html,发文时间,"//div[@class='article-info' and starts-with(normalize-space(), '时间：')][1]",失败,,0,137.01,
http://www.bpf.cas.cn/tzgl/201903/t20190327_4686698.html,发文机构,//title,成功,中科院“十三五”科教基础设施四个重点项目可行性研究报告获国家发改委批复----中国科学院条件保障与财务局,1,137.01,
http://www.bpf.cas.cn/tzgl/201903/t20190327_4686698.html,附件,//div[@class='appendix'],成功,附件：,1,137.01,
https://www.cae.cn/cae/html/main/col4/2018-01/04/20180104144453096723240_1.html,标题,//title/text(),成功,“中英城市洪涝防治研究影响力项目”申报指南,1,105.34,
https://www.cae.cn/cae/html/main/col4/2018-01/04/20180104144453096723240_1.html,正文内容,//div[@class='top_text_main'],成功,希望两院院士作为科技界杰出代表，冲锋在前、勇挑重担，当好科技前沿的开拓者、重大任务的担纲者、青年人才成长的引领者、科学家精神的示范者，为我国科技事业发展再立新功！,2,105.34,
https://www.cae.cn/cae/html/main/col4/2018-01/04/20180104144453096723240_1.html,发文时间,,失败,,0,105.34,
https://www.cae.cn/cae/html/main/col4/2018-01/04/20180104144453096723240_1.html,发文机构,,失败,,0,105.34,
https://www.cae.cn/cae/html/main/col4/2018-01/04/20180104144453096723240_1.html,附件,,失败,,0,105.34,
https://casad.cas.cn/xbjs2022/gzzd/yszc/,标题,//div[@class='dh_gzzd left']/following-sibling::div[@class='row']/div[@class='col-md-6' and text()='院士章程'],失败,,0,179.35,
