URL,元素名称,XPath,状态,内容预览,匹配数量,处理时间(秒),错误信息
https://www.cas.cn/zcjd/202208/t20220818_4844952.shtml,标题,//title,成功,关于印发《科技支撑碳达峰碳中和实施方案（2022—2030年）》的通知----中国科学院,1,198.96,
https://www.cas.cn/zcjd/202208/t20220818_4844952.shtml,正文内容,//div[@class='xdzx'],成功,"中国科学院院级科技专项体系包括战略性先导科技专项、重点部署科研专项、科技人才专项、科技合作专项、科技平台专项5类一级专项，实行分类定位、分级管理。
为方便科研人员全面快捷了解院级科技专项信息并进行项目申报等相关操作，特搭建中国科学院院级科技专项信息管理服务平台。了解科技专项更多内容，请点击进入→",1,198.96,
https://www.cas.cn/zcjd/202208/t20220818_4844952.shtml,发文时间,"//div[contains(@class, 'fzqh_txt')][1]",成功,"加快打造原始创新策源地，加快突破关键核心技术，努力抢占科技制高点，为把我国建设成为世界科技强国作出新的更大的贡献。
——习近平总书记在致中国科学院建院70周年贺信中作出的“两加快一努力”重要指示要求",1,198.96,
https://www.cas.cn/zcjd/202208/t20220818_4844952.shtml,发文机构,//div[@class='logo_word'],失败,,0,198.96,
https://www.cas.cn/zcjd/202208/t20220818_4844952.shtml,附件,"//a[contains(@href, '.doc') or contains(@href, '.pdf')]/@href",成功,./W020220818570369561265.pdf,1,198.96,
http://www.gov.cn/zhengce/content/2019-04/15/content_5382991.htm,标题,//div[@class='share-title'],成功,中华人民共和国政府信息公开条例,2,368.72,
http://www.gov.cn/zhengce/content/2019-04/15/content_5382991.htm,正文内容,//div[@id='UCAP-CONTENT'],成功,"中华人民共和国国务院令
第711号


现公布修订后的《中华人民共和国政府信息公开条例》，自2019年5月15日起施行。
总理　　李克强              
2019年4月3日          


中华人民共和国政府信息公开条例
（2007年4月5日中华人民共和国国务院令第492号公布　2019年4月3日中华人民共和国国务院令第711号修订）


第一章　总　　则


第一条　为了保障...",1,368.72,
http://www.gov.cn/zhengce/content/2019-04/15/content_5382991.htm,发文时间,"//div[contains(@class, 'mxxgkabstract')][contains(., '成文日期：')]",成功,"索  引  号：
000014349/2019-00036
主题分类：
综合政务\政务公开
发文机关：
国务院
成文日期：
2019年04月03日
标　　题：
中华人民共和国政府信息公开条例
发文字号：
国令第711号
发布日期：
2019年04月15日",1,368.72,
http://www.gov.cn/zhengce/content/2019-04/15/content_5382991.htm,发文机构,"//div[contains(@class, 'mxxgkabstract')][contains(., '发文机关：')]",成功,"索  引  号：
000014349/2019-00036
主题分类：
综合政务\政务公开
发文机关：
国务院
成文日期：
2019年04月03日
标　　题：
中华人民共和国政府信息公开条例
发文字号：
国令第711号
发布日期：
2019年04月15日",1,368.72,
http://www.gov.cn/zhengce/content/2019-04/15/content_5382991.htm,附件,"//div[@id='UCAP-CONTENT']//a[contains(text(), '附件')]",失败,,0,368.72,
https://www.cas.cn/tz/201904/t20190426_4690054.shtml,标题,//title,成功,中国科学院“地球大数据科学工程”A类战略性先导科技专项2019年度科学数据择优出版计划----中国科学院,1,247.33,
https://www.cas.cn/tz/201904/t20190426_4690054.shtml,正文内容,//div[@class='xdzx'],成功,"中国科学院院级科技专项体系包括战略性先导科技专项、重点部署科研专项、科技人才专项、科技合作专项、科技平台专项5类一级专项，实行分类定位、分级管理。
为方便科研人员全面快捷了解院级科技专项信息并进行项目申报等相关操作，特搭建中国科学院院级科技专项信息管理服务平台。了解科技专项更多内容，请点击进入→",1,247.33,
https://www.cas.cn/tz/201904/t20190426_4690054.shtml,发文时间,//title,成功,中国科学院“地球大数据科学工程”A类战略性先导科技专项2019年度科学数据择优出版计划----中国科学院,1,247.33,
https://www.cas.cn/tz/201904/t20190426_4690054.shtml,发文机构,//title,成功,中国科学院“地球大数据科学工程”A类战略性先导科技专项2019年度科学数据择优出版计划----中国科学院,1,247.33,
https://www.cas.cn/tz/201904/t20190426_4690054.shtml,附件,//div[@class='attachment'],失败,,0,247.33,
https://www.cas.cn/xxgkml/xxgkgzxx/xggd/xxgkzn/201412/t20141201_4265561.shtml,标题,/html/head/title,成功,中国科学院机关信息公开指南----中国科学院,1,332.39,
https://www.cas.cn/xxgkml/xxgkgzxx/xggd/xxgkzn/201412/t20141201_4265561.shtml,正文内容,//div[@class='ykjj_txt'],成功,1949年，伴随着新中国的诞生，中国科学院成立。　　作为国家在科学技术方面的最高学术机构和全国自然科学与高新技术的综合研究与发展中心，建院以来，中国科学院时刻牢记使命，与科学共进，与祖国同行，以国家富强、人民幸福为己任，人才辈出，硕果累累，为我国科技进步、经济社会发展和国家安全做出了不可替代的重要贡献。 更多简介 +,1,332.39,
https://www.cas.cn/xxgkml/xxgkgzxx/xggd/xxgkzn/201412/t20141201_4265561.shtml,发文时间,,失败,,0,332.39,
https://www.cas.cn/xxgkml/xxgkgzxx/xggd/xxgkzn/201412/t20141201_4265561.shtml,发文机构,/html/head/title,成功,中国科学院机关信息公开指南----中国科学院,1,332.39,
https://www.cas.cn/xxgkml/xxgkgzxx/xggd/xxgkzn/201412/t20141201_4265561.shtml,附件,,失败,,0,332.39,
